Point;N;E
PB;67.97697;24.22865
PE;67.9826;24.22587
PG;67.98597;24.22462
PK;67.99087;24.22023
PP;67.99979;24.2027
PN;67.99731;24.20804
Y1;68.078467;24.125401
Y2;68.072875;24.128796
Y3;68.069713;24.128949
Y4;68.068872;24.126766
Y5;68.068541;24.121358
Y6;68.069997;24.121787
Y7;68.06811;24.121088
Y8;68.066604;24.128749
Y9;68.062462;24.137578
Y10;68.059447;24.132737
Y12;68.05749;24.136321
Y13;68.058155;24.139443
Y14;68.05875;24.141925
Y15;68.056422;24.142538
L1;68.002349;24.191084
L2;68.000658;24.189803
L3;68.00042;24.190311
PJ1;68.021425;24.160405
PJ2;68.011531;24.142621
T1;68.043437;24.083702
T2;68.036947;24.068137
T3;68.04839;24.061399
T4;68.048746;24.05971
KI1;68.019321;24.084911
KI2;68.023194;24.093482
K1;67.996079;24.041903
K2;67.998353;24.049525
K3;68.003362;24.051866
P1;68.010413;24.074137
P2;68.007486;24.080196
P3;68.006354;24.089082
P4;68.004483;24.104741
P5;68.004234;24.116867
P6;68.004825;24.120933
P7;68.026378;24.156176
A1;68.055881;24.170712
A2;68.055866;24.171433
